Encoded_file,bpp,psnr,ssim,sqnr,mape_phase,enc_time,dec_time,enc1_m,enc1_s,enc2_m,enc2_s,enc3_m,enc3_s,enc4_m,enc4_s,enc5_m,enc5_s,dec1_m,dec1_s,dec2_m,dec2_s,dec3_m,dec3_s,dec4_m,dec4_s,dec5_m,dec5_s
0.npy,1.503173828125,28.402244796411892,0.9758041501045227,15.823405265808105,0.459206759929657,0.9458596706390381,0.5992214679718018,0.018578171730041504,4.4147917497732055e-05,0.01867704391479492,5.0132324007644676e-05,0.019173812866210938,6.230537581773597e-05,0.02028312683105469,5.450628339173987e-05,0.005291152000427246,4.175567048658431e-05,0.01035158634185791,3.1923713565656344e-05,0.010413455963134765,1.505846913808907e-05,0.010705161094665527,1.547483516587497e-05,0.011368417739868164,1.1663616238304488e-05,0.01027071475982666,0.00011133510736795551
1.npy,1.1903076171875,28.20638684495441,0.9389450550079346,12.013299942016602,0.681494951248169,0.8953847885131836,0.567840576171875,0.018613767623901368,0.00030690305624936885,0.018642401695251463,3.967810244152823e-05,0.019144201278686525,5.5632327835990904e-05,0.02016792297363281,2.8772924681188297e-05,0.0043866634368896484,6.138220482940053e-05,0.010319256782531738,1.941624757239607e-05,0.010399985313415527,3.766169181786924e-05,0.010678887367248535,2.363935541227329e-05,0.011304640769958496,1.598025315187439e-05,0.008470535278320312,3.63656725470147e-05
10.npy,1.39691162109375,28.346828766612692,0.9602620005607605,14.90291690826416,0.4951079487800598,0.9034481048583984,0.5809893608093262,0.01850414276123047,4.270209204420889e-05,0.018652701377868654,4.70525514047692e-05,0.01925215721130371,0.0001003296542499601,0.02022275924682617,4.267268985633779e-05,0.005051565170288086,6.847162429149966e-05,0.010297250747680665,1.759710018296717e-05,0.010363197326660157,1.9590174369658215e-05,0.010750675201416015,0.00019599634877945848,0.011306333541870116,1.7116992856205623e-05,0.009668326377868653,6.579933377735502e-05
100.npy,0.77825927734375,29.31234246406845,0.9114406704902649,8.626779556274414,0.9424580335617065,0.8783953189849854,0.5375211238861084,0.01850895881652832,2.9854119111931587e-05,0.018697643280029298,0.0002727175322098004,0.019125866889953613,6.54235568931436e-05,0.020058178901672365,5.302521928655636e-05,0.0030267000198364257,3.332464932784379e-05,0.010280227661132813,1.7527317154319578e-05,0.010370159149169922,2.0588434816221457e-05,0.010644745826721192,2.4449485267756e-05,0.011223363876342773,1.5663501867407084e-05,0.005907368659973144,2.399728893498727e-05
101.npy,1.466552734375,28.47179661508254,0.9550862908363342,14.480655670166016,0.6326382160186768,0.901761531829834,0.5858850479125977,0.01854698657989502,9.090247607258682e-05,0.018617582321166993,8.27186585888817e-05,0.019205498695373534,6.532234417593726e-05,0.020351934432983398,7.569471112245028e-05,0.004802036285400391,3.735796228561997e-05,0.010358309745788575,2.8608133318723175e-05,0.010409235954284668,3.217630754531017e-05,0.010698843002319335,2.7563868791532246e-05,0.011327028274536133,1.2441247106218098e-05,0.010024714469909667,3.382655543703363e-05
102.npy,0.931640625,28.965911706455035,0.926301896572113,9.710258483886719,0.8462539315223694,0.8843274116516113,0.5483574867248535,0.018490099906921388,4.0466656971509944e-05,0.018604493141174315,3.2460923759660566e-05,0.019139647483825684,3.77142096069058e-05,0.02013683319091797,5.9845058058364194e-05,0.0035730600357055664,2.3847162133512047e-05,0.010277056694030761,1.5430471805751046e-05,0.010354399681091309,1.8155304755834434e-05,0.01064918041229248,2.0303816344964543e-05,0.011264538764953614,2.342004767671078e-05,0.006874895095825196,2.3025903025403434e-05
103.npy,1.36224365234375,28.519648081784304,0.9382462501525879,13.530583381652832,0.6430987119674683,0.8986477851867676,0.5808706283569336,0.018528008460998537,4.350736677819751e-05,0.01860980987548828,3.025752518689226e-05,0.019160246849060057,5.4957778700646075e-05,0.02029421329498291,0.0002285429922432073,0.0046691417694091795,3.680920344464772e-05,0.010353350639343261,3.211799145871866e-05,0.010399436950683594,1.4949510337462806e-05,0.010709619522094727,1.7445398772098062e-05,0.011345338821411134,7.802575751459233e-05,0.009557676315307618,7.711850077603188e-05
104.npy,1.76947021484375,28.04507657388552,0.9791560769081116,17.71080207824707,0.38574621081352234,0.9139671325683594,0.6085295677185059,0.018558526039123537,3.378307136882656e-05,0.0186690092086792,4.390078539897252e-05,0.01929025650024414,0.00020367385730528766,0.020306921005249022,3.9050488748742325e-05,0.0058105230331420895,7.753938525796361e-05,0.010377621650695801,2.0537916671912886e-05,0.010439658164978027,2.0956559117047342e-05,0.010730266571044922,2.2394092492387196e-05,0.011410403251647949,2.4031138092247765e-05,0.011903333663940429,4.354437139883232e-05
105.npy,1.1715087890625,28.606286177571203,0.9543160200119019,12.080053329467773,0.707493007183075,0.896282434463501,0.572115421295166,0.018614983558654784,0.00017252006769269388,0.018637847900390626,7.755810247539664e-05,0.019221925735473634,7.650422384041044e-05,0.020255064964294432,3.701074284917698e-05,0.004323482513427734,5.9890822999748156e-05,0.010326981544494629,2.026621032180968e-05,0.01041409969329834,2.27852458632166e-05,0.010686373710632325,2.3095722327170193e-05,0.011327028274536133,1.615732296700623e-05,0.008868956565856933,0.0007791021479542488
106.npy,1.96795654296875,27.534185564105826,0.9766153693199158,19.09037208557129,0.3077051639556885,0.9222791194915771,0.621527910232544,0.01864461898803711,0.0001172497776784546,0.01887345314025879,0.0002458249326866822,0.01928544044494629,8.933973963782273e-05,0.02046031951904297,0.00013232569647230895,0.006163549423217773,6.490398349741302e-05,0.01040480136871338,2.8931964411087124e-05,0.010434532165527343,3.6163029538688375e-05,0.010734248161315917,1.671348250365469e-05,0.011421394348144532,5.118606470233706e-05,0.013076591491699218,0.00014768555169502256
107.npy,1.0626220703125,28.473254149922568,0.9244365692138672,11.060881614685059,0.7155093550682068,0.8914389610290527,0.5591189861297607,0.01849822998046875,2.3610133368188444e-05,0.01864469051361084,4.8625964571128634e-05,0.019186758995056154,3.704206119720426e-05,0.020208287239074706,5.5143702194442306e-05,0.004070472717285156,3.943472127566882e-05,0.010300087928771972,1.3137296402965638e-05,0.010391592979431152,2.7197123275065202e-05,0.01068582534790039,3.378673082710538e-05,0.011292695999145508,1.4833391578678682e-05,0.007744622230529785,5.826942756791836e-05
108.npy,1.56085205078125,28.22278759220509,0.9700732827186584,16.431102752685547,0.40577858686447144,0.9091145992279053,0.595008134841919,0.018569588661193848,5.520327222788885e-05,0.018652057647705077,4.24350512094014e-05,0.019184422492980958,4.5833706954835695e-05,0.020291662216186522,4.49308905530992e-05,0.005524754524230957,5.447989739913695e-05,0.010346674919128418,2.578019335125834e-05,0.010393762588500976,2.2700453807744095e-05,0.010786056518554688,0.0002413542258920974,0.011376333236694337,2.3825353632024993e-05,0.010745954513549805,0.00011646018156716615
109.npy,1.8111572265625,27.933502884439363,0.9734166264533997,18.024974822998047,0.3584941625595093,0.914806604385376,0.6106655597686768,0.0185870885848999,4.1105527278718165e-05,0.018673348426818847,8.418046848684975e-05,0.019190335273742677,5.745516266428062e-05,0.020339083671569825,0.00012157702100908113,0.005890941619873047,4.871192064879787e-05,0.010393595695495606,4.485533038395261e-05,0.010414481163024902,1.8601921141221564e-05,0.010743093490600587,2.662353136024553e-05,0.011393094062805175,6.424488897485128e-05,0.012122297286987304,7.575982106773465e-05
11.npy,1.056884765625,28.559691473032608,0.9466060400009155,11.362493515014648,0.7302042245864868,0.8906385898590088,0.5591564178466797,0.018491196632385253,3.578678756261821e-05,0.018625617027282715,5.049694811419726e-05,0.01916394233703613,4.612437722151564e-05,0.02015833854675293,5.215395382460772e-05,0.004080343246459961,4.0949846780431964e-05,0.01033644676208496,6.73175860826932e-05,0.010375356674194336,1.680409596704638e-05,0.010661959648132324,1.212294589997316e-05,0.011338257789611816,0.00020184082223252093,0.007686042785644531,3.5697909954588277e-05
